"symbol","name","market_cap","sector","industry","exchange"
"WWVY","Warwick Valley Telephone Company","75717424.61","Public Utilities","Telecommunications Equipment","nasdaq"
"XONE","The ExOne Company","590898739.92","Capital Goods","Industrial Machinery/Components","nasdaq"
"XOOM","Xoom Corporation","622705525.36","Finance","Investment Bankers/Brokers/Service","nasdaq"
"XPLR","Xplore Technologies Corp","27265429.75","Technology","Computer Manufacturing","nasdaq"
"YAVY","Yadkin Valley Financial Corporation","65412059.76","Finance","Major Banks","nasdaq"
"YDKN","Yadkin Financial Corporation","0","Finance","Major Banks","nasdaq"
"YDNT","Young Innovations, Inc.","272262542.44","Health Care","Medical/Dental Instruments","nasdaq"
"YTEC","Yucheng Technologies Limited","72356212.94","Technology","EDP Services","nasdaq"
"YY","YY Inc.","246675000","Technology","EDP Services","nasdaq"
"ZIONZ","Zions Bancorporation","0","Finance","Major Banks","nasdaq"
"ZIP","Zipcar, Inc.","264884378.52","Consumer Services","Rental/Leasing Companies","nasdaq"
"ZNWAW","Zion Oil & Gas Inc","0","Energy","Oil & Gas Production","nasdaq"
"ZNWAZ","Zion Oil & Gas Inc","0","Energy","Oil & Gas Production","nasdaq"
