"symbol","name","market_cap","sector","industry","exchange"
"MMUS","MakeMusic, Inc.","19545840.93","Technology","Computer Software: Prepackaged Software","nasdaq"
"MNRKP","Monarch Financial Holdings, Inc.","0","Finance","Major Banks","nasdaq"
"MOTR","Motricity, Inc.","19157818.055","Miscellaneous","Business Services","nasdaq"
"MRCC","Monroe Capital Corporation","87618773.6","n/a","n/a","nasdaq"
"MSW","Mission West Properties, Inc.","191998129.4","Consumer Services","Real Estate Investment Trusts","nasdaq"
"MYRX","Myrexis, Inc","64317199.2","Consumer Durables","Major Pharmaceuticals","nasdaq"
"MZOR","Mazor Robotics Ltd.","11.29","Health Care","Medical/Dental Instruments","nasdaq"
"NABI","Nabi Biopharmaceuticals","50991100.2","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","nasdaq"
"NBCB","First NBC Bank Holding Company","446765913.56","Finance","Major Banks","nasdaq"
"NCLH","Norwegian Cruise Line Holdings Ltd.","6407561223.72","Consumer Services","Marine Transportation","nasdaq"
"NEBS","New England Bancshares, Inc.","79971808.68","Finance","Savings Institutions","nasdaq"
"NEO","NeoGenomics, Inc.","170464133","Health Care","Precision Instruments","nasdaq"
"NEXS","Nexxus Lighting, Inc.","21283348.256","Basic Industries","Telecommunications Equipment","nasdaq"
"NKBP","China Nuokang Bio-Pharmaceutical Inc.","25870968.25","Consumer Durables","Major Pharmaceuticals","nasdaq"
"NMAR","Nautilus Marine Acquisition Corp.","17373472.75","Finance","Business Services","nasdaq"
"NMARW","Nautilus Marine Acquisition Corp.","0","Finance","Business Services","nasdaq"
"NOOF","New Frontier Media, Inc.","32365783.87","Consumer Services","Movies/Entertainment","nasdaq"
"NPBCO","National Penn Bancshares, Inc.","0","Finance","Major Banks","nasdaq"
"NRCI","National Research Corporation","338042709.77","Health Care","Biotechnology: Commercial Physical & Biological Resarch","nasdaq"
"NRCIA","National Research Corporation","0","Health Care","Biotechnology: Commercial Physical & Biological Resarch","nasdaq"
"NRCIB","National Research Corporation","0","Health Care","Biotechnology: Commercial Physical & Biological Resarch","nasdaq"
"NVEEU","NV5 Holdings, Inc.","30095441.164","Consumer Services","Other Consumer Services","nasdaq"
"NWBO","Northwest Biotherapeutics, Inc.","108379231.2","Health Care","Major Pharmaceuticals","nasdaq"
"NWBOW","Northwest Biotherapeutics, Inc.","0","Health Care","Major Pharmaceuticals","nasdaq"
"NYMTP","New York Mortgage Trust, Inc.","0","n/a","n/a","nasdaq"
"OFS","OFS Capital Corporation","107992387.8","n/a","n/a","nasdaq"
"OMPI","Obagi Medical Products, Inc.","233169166","Consumer Durables","Major Pharmaceuticals","nasdaq"
"OMTH","Omthera Pharmaceuticals, Inc.","319825640.1","Health Care","Major Pharmaceuticals","nasdaq"
"ONSM","Onstream Media Corporation","4984394.583","Technology","EDP Services","nasdaq"
"OPNT","OPNET Technologies Inc.","748127409.59","Technology","Computer Software: Prepackaged Software","nasdaq"
"OPXAW","Opexa Therapeutics, Inc.","2304848.8","Consumer Durables","Major Pharmaceuticals","nasdaq"
"ORCC","Online Resources Corporation","94133181.15","Miscellaneous","Business Services","nasdaq"
"ORMP","Oramed Pharmaceuticals Inc.","59940656.164","Health Care","Major Pharmaceuticals","nasdaq"
"OTEL","Otelco Inc.","0","Public Utilities","Telecommunications Equipment","nasdaq"
"OTT","Otelco, Inc.","31334727.48","Public Utilities","Telecommunications Equipment","nasdaq"
"OUTD","Outdoor Channel Holdings, Inc.","185906124","Consumer Services","Television Services","nasdaq"
"OVAS","Ovascience Inc.","243777061.2","Health Care","Major Pharmaceuticals","nasdaq"
"OXLCP","Oxford Lane Capital Corp.","0","n/a","n/a","nasdaq"
"PACT          ","Pactera Technology International Ltd","528092552.8","Technology","EDP Services","nasdaq"
"PBCP","Polonia Bancorp, Inc.","32161181.3944","Finance","Savings Institutions","nasdaq"
"PCBC","Pacific Capital Bancorp","1510888609.64","Finance","Major Banks","nasdaq"
"PCMI","PCM, Inc.","90662458.32","Consumer Services","Catalog/Specialty Distribution","nasdaq"
"PEET","Peet&#39;s Coffee & Tea, Inc.","969104147.7","Consumer Non-Durables","Packaged Foods","nasdaq"
"PKOL","PowerShares Global Coal Portfolio","9885000","n/a","n/a","nasdaq"
"PLFE","Presidential Life Corporation","412508841.66","Finance","Life Insurance","nasdaq"
"PLPM","Planet Payment, Inc.","145530677.47","Miscellaneous","Business Services","nasdaq"
"PME","Pingtan Marine Enterprise Ltd.","798456035.3","Basic Industries","Military/Government/Technical","nasdaq"
"PPC","Pilgrim&#39;s Pride Corporation","3092806654.02","Consumer Non-Durables","Meat/Poultry/Fish","nasdaq"
"PRGN","Paragon Shipping Inc.","45765836.48","Transportation","Marine Transportation","nasdaq"
"PRST","Presstek, Inc.","18600338.316","Capital Goods","Industrial Machinery/Components","nasdaq"
"PRTA","Prothena Corporation plc","168129020.82","Health Care","Major Pharmaceuticals","nasdaq"
"PRWT","Premier West Bancorp","14048637.4","Finance","Major Banks","nasdaq"
"PSIX","Power Solutions International, Inc.","317881258.29","Energy","Industrial Machinery/Components","nasdaq"
"PSOF","Pansoft Company Limited","22568662.8","Technology","EDP Services","nasdaq"
"PSSI","PSS World Medical Inc.","1098621976.7","Health Care","Medical Specialities","nasdaq"
"PSTL","PowerShares Global Steel Portfolio","2001000","n/a","n/a","nasdaq"
"PTLA","Portola Pharmaceuticals, Inc.","0","Health Care","Major Pharmaceuticals","nasdaq"
"PTX","Pernix Therapeutics Holdings, Inc.","127854830.8","Health Care","Major Pharmaceuticals","nasdaq"
"PURE","PURE Bioscience, Inc.","14913989.28","Basic Industries","Major Chemicals","nasdaq"
"PVSW","Pervasive Software Inc.","140794391","Technology","Computer Software: Prepackaged Software","nasdaq"
"PWAV","Powerwave Technologies, Inc.","12379353.09","Technology","Radio And Television Broadcasting And Communications Equipment","nasdaq"
"PWND","PowerShares Global Wind Energy Portfolio","9190500","n/a","n/a","nasdaq"
"QIWI","QIWI plc","225000000","Miscellaneous","Business Services","nasdaq"
"RBNF","Rurban Financial Corp","32476683.72","Finance","Major Banks","nasdaq"
"RCPT","Receptos, Inc.","336247917.3","Health Care","Major Pharmaceuticals","nasdaq"
"RDHL","Redhill Biopharma Ltd.","6510038.814","Health Care","Major Pharmaceuticals","nasdaq"
"REED","Reeds, Inc.","89794814.34","Consumer Non-Durables","Beverages (Production/Distribution)","nasdaq"
"REMY","Remy International, Inc.","572973791.1","Capital Goods","Auto Parts:O.E.M.","nasdaq"
"RIMM","Research in Motion Limited","4067480389.44","Public Utilities","Telecommunications Equipment","nasdaq"
"RMGN","SCG Financial Acquisition Corp","70543098.009","Miscellaneous","Business Services","nasdaq"
"RMTR","Ramtron International Corporation","109487379.81","Technology","Semiconductors","nasdaq"
"RNIN","Wireless Ronin Technologies, Inc.","19055408.46","Technology","EDP Services","nasdaq"
"ROIQ","ROI Acquisition Corp.","90659100","Finance","Business Services","nasdaq"
"ROIQU","ROI Acquisition Corp.","94788500","Finance","Business Services","nasdaq"
"ROIQW","ROI Acquisition Corp.","0","Finance","Business Services","nasdaq"
"RTLX","Retalix Ltd.","502260831.6","Technology","Computer Software: Prepackaged Software","nasdaq"
"RUDR","ALPS ETF Trust VelocityShares Russia Select DR ETF","2452745.25","n/a","n/a","nasdaq"
"RVLT","Revolution Lighting Technologies, Inc.","278169859.24","Basic Industries","Telecommunications Equipment","nasdaq"
"SABA","Saba Software, Inc.","284453072.1","Technology","Computer Software: Prepackaged Software","nasdaq"
"SAL","Salisbury Bancorp, Inc.","44270636.9","Finance","Savings Institutions","nasdaq"
"SANWW","S&W Seed Company","0","Consumer Non-Durables","Farming/Seeds/Milling","nasdaq"
"SATC","SatCon Technology Corporation","4560582.048","Technology","Semiconductors","nasdaq"
"SAVB","The Savannah Bancorp, Inc.","68320759.13","Finance","Major Banks","nasdaq"
